127.0.0.1 - - [08/Jun/2015:16:06:58 +0200] "GET /OSAC/resources/javascripts/foundation.min.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:16:07:00 +0200] "GET /OSAC/administration-parametre HTTP/1.1" 200 10676
127.0.0.1 - - [08/Jun/2015:16:07:00 +0200] "GET /OSAC/resources/stylesheets/font-awesome/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:16:07:00 +0200] "GET /OSAC/resources/stylesheets/foundation/normalize.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:16:07:00 +0200] "GET /OSAC/resources/stylesheets/home.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:16:07:00 +0200] "GET /OSAC/resources/stylesheets/base.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:16:07:00 +0200] "GET /OSAC/resources/stylesheets/statistique.css HTTP/1.1" 404 1003
127.0.0.1 - - [08/Jun/2015:16:07:00 +0200] "GET /OSAC/resources/stylesheets/administration.css HTTP/1.1" 404 1003
127.0.0.1 - - [08/Jun/2015:16:07:00 +0200] "GET /OSAC/resources/stylesheets/administration-parametre.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:16:07:00 +0200] "GET /OSAC/resources/stylesheets/foundation/foundation.min.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:16:07:00 +0200] "GET /OSAC/resources/stylesheets/parametre.css HTTP/1.1" 404 1003
127.0.0.1 - - [08/Jun/2015:16:07:00 +0200] "GET /OSAC/resources/javascripts/foundation.min.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:16:07:00 +0200] "GET /OSAC/resources/javascripts/vendor/modernizr.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:16:07:00 +0200] "GET /OSAC/resources/javascripts/vendor/jquery.js HTTP/1.1" 304 -
